Date,Algeria,Mauritania,Morocco,Tunisia,Libya
1/22/20,0,0,0,0,0
1/23/20,0,0,0,0,0
1/24/20,0,0,0,0,0
1/25/20,0,0,0,0,0
1/26/20,0,0,0,0,0
1/27/20,0,0,0,0,0
1/28/20,0,0,0,0,0
1/29/20,0,0,0,0,0
1/30/20,0,0,0,0,0
1/31/20,0,0,0,0,0
2/1/20,0,0,0,0,0
2/2/20,0,0,0,0,0
2/3/20,0,0,0,0,0
2/4/20,0,0,0,0,0
2/5/20,0,0,0,0,0
2/6/20,0,0,0,0,0
2/7/20,0,0,0,0,0
2/8/20,0,0,0,0,0
2/9/20,0,0,0,0,0
2/10/20,0,0,0,0,0
2/11/20,0,0,0,0,0
2/12/20,0,0,0,0,0
2/13/20,0,0,0,0,0
2/14/20,0,0,0,0,0
2/15/20,0,0,0,0,0
2/16/20,0,0,0,0,0
2/17/20,0,0,0,0,0
2/18/20,0,0,0,0,0
2/19/20,0,0,0,0,0
2/20/20,0,0,0,0,0
2/21/20,0,0,0,0,0
2/22/20,0,0,0,0,0
2/23/20,0,0,0,0,0
2/24/20,0,0,0,0,0
2/25/20,1,0,0,0,0
2/26/20,1,0,0,0,0
2/27/20,1,0,0,0,0
2/28/20,1,0,0,0,0
2/29/20,1,0,0,0,0
3/1/20,1,0,0,0,0
3/2/20,3,0,1,0,0
3/3/20,5,0,1,0,0
3/4/20,12,0,1,1,0
3/5/20,12,0,2,1,0
3/6/20,17,0,2,1,0
3/7/20,17,0,2,1,0
3/8/20,19,0,2,2,0
3/9/20,20,0,2,2,0
3/10/20,20,0,3,5,0
3/11/20,20,0,5,7,0
3/12/20,24,0,6,7,0
3/13/20,26,0,7,16,0
3/14/20,37,1,17,18,0
3/15/20,48,1,28,18,0
3/16/20,54,1,29,20,0
3/17/20,60,1,38,24,0
3/18/20,74,1,49,29,0
3/19/20,87,2,63,39,0
3/20/20,90,2,77,54,0
3/21/20,139,2,96,60,0
3/22/20,201,2,115,75,0
3/23/20,230,2,143,89,0
3/24/20,264,2,170,114,1
3/25/20,302,2,225,173,1
3/26/20,367,3,275,197,1
3/27/20,409,3,345,227,1
3/28/20,454,5,402,278,3
3/29/20,511,5,479,312,8
3/30/20,584,5,556,312,8
3/31/20,716,6,617,394,10
4/1/20,847,6,654,423,10
4/2/20,986,6,708,455,11
4/3/20,1171,6,791,495,11
4/4/20,1251,6,919,553,18
4/5/20,1320,6,1021,574,18
4/6/20,1423,6,1120,596,19
4/7/20,1468,6,1184,623,20
4/8/20,1572,6,1275,628,21
4/9/20,1666,7,1374,643,24
4/10/20,1761,7,1448,671,24
4/11/20,1825,7,1545,685,24
4/12/20,1914,7,1661,707,25
4/13/20,1983,7,1763,726,26
4/14/20,2070,7,1888,747,35
4/15/20,2160,7,2024,780,48
4/16/20,2268,7,2283,822,49
4/17/20,2418,7,2564,864,49
4/18/20,2534,7,2685,864,49
4/19/20,2629,7,2855,879,51
4/20/20,2718,7,3046,884,51
4/21/20,2811,7,3209,884,51
4/22/20,2910,7,3446,909,59
4/23/20,3007,7,3568,918,60
4/24/20,3127,7,3758,922,61
4/25/20,3256,7,3897,939,61
4/26/20,3382,7,4065,949,61
4/27/20,3517,7,4120,967,61
4/28/20,3649,7,4252,975,61
4/29/20,3848,8,4321,980,61
4/30/20,4006,8,4423,994,61
5/1/20,4154,8,4569,998,63
5/2/20,4295,8,4729,1009,63
5/3/20,4474,8,4903,1013,63
5/4/20,4648,8,5053,1018,63
5/5/20,4838,8,5219,1022,63
5/6/20,4997,8,5408,1025,64
5/7/20,5182,8,5548,1026,64
5/8/20,5369,8,5711,1030,64
5/9/20,5558,8,5910,1032,64
5/10/20,5723,8,6063,1032,64
5/11/20,5891,8,6281,1032,64
5/12/20,6067,9,6418,1032,64
5/13/20,6253,15,6512,1032,64
5/14/20,6442,20,6607,1032,64
5/15/20,6629,29,6652,1035,64
5/16/20,6821,40,6741,1037,65
5/17/20,7019,62,6870,1037,65
5/18/20,7201,81,6952,1043,65
5/19/20,7377,131,7023,1044,68
5/20/20,7542,141,7133,1045,69
5/21/20,7728,173,7211,1046,71
5/22/20,7918,200,7332,1048,72
5/23/20,8113,227,7406,1048,75
5/24/20,8306,237,7433,1051,75
5/25/20,8503,262,7532,1051,75
5/26/20,8697,268,7577,1051,77
