Date,Algeria,Mauritania,Morocco,Tunisia,Libya
1/22/20,0,0,0,0,0
1/23/20,0,0,0,0,0
1/24/20,0,0,0,0,0
1/25/20,0,0,0,0,0
1/26/20,0,0,0,0,0
1/27/20,0,0,0,0,0
1/28/20,0,0,0,0,0
1/29/20,0,0,0,0,0
1/30/20,0,0,0,0,0
1/31/20,0,0,0,0,0
2/1/20,0,0,0,0,0
2/2/20,0,0,0,0,0
2/3/20,0,0,0,0,0
2/4/20,0,0,0,0,0
2/5/20,0,0,0,0,0
2/6/20,0,0,0,0,0
2/7/20,0,0,0,0,0
2/8/20,0,0,0,0,0
2/9/20,0,0,0,0,0
2/10/20,0,0,0,0,0
2/11/20,0,0,0,0,0
2/12/20,0,0,0,0,0
2/13/20,0,0,0,0,0
2/14/20,0,0,0,0,0
2/15/20,0,0,0,0,0
2/16/20,0,0,0,0,0
2/17/20,0,0,0,0,0
2/18/20,0,0,0,0,0
2/19/20,0,0,0,0,0
2/20/20,0,0,0,0,0
2/21/20,0,0,0,0,0
2/22/20,0,0,0,0,0
2/23/20,0,0,0,0,0
2/24/20,0,0,0,0,0
2/25/20,0,0,0,0,0
2/26/20,0,0,0,0,0
2/27/20,0,0,0,0,0
2/28/20,0,0,0,0,0
2/29/20,0,0,0,0,0
3/1/20,0,0,0,0,0
3/2/20,0,0,0,0,0
3/3/20,0,0,0,0,0
3/4/20,0,0,0,0,0
3/5/20,0,0,0,0,0
3/6/20,0,0,0,0,0
3/7/20,0,0,0,0,0
3/8/20,0,0,0,0,0
3/9/20,0,0,0,0,0
3/10/20,0,0,1,0,0
3/11/20,0,0,1,0,0
3/12/20,1,0,1,0,0
3/13/20,2,0,1,0,0
3/14/20,3,0,1,0,0
3/15/20,4,0,1,0,0
3/16/20,4,0,1,0,0
3/17/20,4,0,2,0,0
3/18/20,7,0,2,0,0
3/19/20,9,0,2,1,0
3/20/20,11,0,3,1,0
3/21/20,15,0,3,1,0
3/22/20,17,0,4,3,0
3/23/20,17,0,4,3,0
3/24/20,19,0,5,4,0
3/25/20,21,0,6,5,0
3/26/20,25,0,11,6,0
3/27/20,26,0,23,6,0
3/28/20,29,0,25,8,0
3/29/20,31,0,26,8,0
3/30/20,35,1,33,8,0
3/31/20,44,1,36,10,0
4/1/20,58,1,39,12,0
4/2/20,86,1,44,14,1
4/3/20,105,1,48,18,1
4/4/20,130,1,59,18,1
4/5/20,152,1,70,22,1
4/6/20,173,1,80,22,1
4/7/20,193,1,90,23,1
4/8/20,205,1,93,24,1
4/9/20,235,1,97,25,1
4/10/20,256,1,107,25,1
4/11/20,275,1,111,28,1
4/12/20,293,1,118,31,1
4/13/20,313,1,126,34,1
4/14/20,326,1,126,34,1
4/15/20,336,1,127,35,1
4/16/20,348,1,130,37,1
4/17/20,364,1,135,37,1
4/18/20,367,1,137,37,1
4/19/20,375,1,141,38,1
4/20/20,384,1,143,38,1
4/21/20,392,1,145,38,1
4/22/20,402,1,149,38,1
4/23/20,407,1,155,38,2
4/24/20,415,1,158,38,2
4/25/20,419,1,159,38,2
4/26/20,425,1,161,38,2
4/27/20,432,1,162,39,2
4/28/20,437,1,165,40,2
4/29/20,444,1,168,40,2
4/30/20,450,1,170,41,3
5/1/20,453,1,171,41,3
5/2/20,459,1,173,42,3
5/3/20,463,1,174,42,3
5/4/20,465,1,179,43,3
5/5/20,470,1,181,43,3
5/6/20,476,1,183,43,3
5/7/20,483,1,183,44,3
5/8/20,488,1,186,45,3
5/9/20,494,1,186,45,3
5/10/20,502,1,188,45,3
5/11/20,507,1,188,45,3
5/12/20,515,1,188,45,3
5/13/20,522,2,188,45,3
5/14/20,529,2,190,45,3
5/15/20,536,3,190,45,3
5/16/20,542,4,192,45,3
5/17/20,548,4,192,45,3
5/18/20,555,4,192,46,3
5/19/20,561,4,193,47,3
5/20/20,568,4,194,47,3
5/21/20,575,5,196,47,3
5/22/20,582,6,197,47,3
5/23/20,592,6,198,48,3
5/24/20,600,6,199,48,3
5/25/20,609,9,200,48,3
5/26/20,617,13,202,48,3
